,RO,SG,W,ZFH,ZUE,AA,OL,SO,BI,NE,YV,MOR,GE,GEAP,RO_days_before_last_booking,SG_days_before_last_booking,W_days_before_last_booking,ZFH_days_before_last_booking,ZUE_days_before_last_booking,AA_days_before_last_booking,OL_days_before_last_booking,SO_days_before_last_booking,BI_days_before_last_booking,NE_days_before_last_booking,YV_days_before_last_booking,MOR_days_before_last_booking,GE_days_before_last_booking,GEAP_days_before_last_booking,capacity
2020-05-09,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,12
2020-05-11,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,12
2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2020-05-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12
2020-05-19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
2020-05-20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,12
2020-05-21,0,0,0,0,3,3,3,3,3,1,1,1,0,0,-1,-1,-1,-1,5,5,5,5,5,16,16,16,-1,-1,12
2020-05-22,0,0,0,0,0,0,0,0,2,2,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,12
2020-05-23,0,0,0,0,1,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,12
2020-05-24,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,12
2020-05-25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12
2020-05-26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,12
2020-05-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,12
2020-05-28,0,0,0,0,0,1,2,2,1,0,0,0,0,0,-1,-1,-1,-1,-1,2,0,0,0,-1,-1,-1,-1,-1,12
2020-05-30,0,0,0,0,6,6,6,6,5,5,1,1,0,0,-1,-1,-1,-1,2,2,2,2,1,1,1,1,-1,-1,12
2020-05-31,0,0,0,0,2,2,2,2,4,4,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,12
2020-06-01,0,0,0,0,3,2,3,3,3,2,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,12
2020-06-02,0,0,0,0,1,1,2,2,2,2,0,0,0,0,-1,-1,-1,-1,0,0,1,1,1,1,-1,-1,-1,-1,12
2020-06-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,12
2020-06-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12
2020-06-15,0,0,0,0,2,2,2,2,3,3,2,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2020-06-17,0,0,0,0,2,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2020-06-18,0,0,0,0,0,1,2,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,12
2020-06-19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,12
2020-06-20,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,12
2020-07-26,0,0,0,0,2,4,4,4,4,4,4,3,0,0,-1,-1,-1,-1,0,0,0,0,1,1,1,1,-1,-1,12
2020-07-27,0,0,0,0,3,5,6,5,5,3,3,4,0,0,-1,-1,-1,-1,1,1,0,1,1,1,1,0,-1,-1,12
2020-07-28,0,0,0,0,2,3,4,3,4,4,4,3,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2020-07-29,0,0,0,0,0,3,3,3,2,2,2,2,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,12
2020-07-30,0,0,0,0,0,0,2,2,2,2,2,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,12
2020-07-31,0,0,0,0,1,1,2,2,3,3,3,2,0,0,-1,-1,-1,-1,0,0,0,0,0,6,6,30,-1,-1,12
2020-08-01,0,0,0,0,1,3,3,3,4,4,0,0,0,0,-1,-1,-1,-1,4,4,4,4,4,4,-1,-1,-1,-1,12
2020-08-02,0,0,0,0,3,4,4,4,5,5,5,5,0,0,-1,-1,-1,-1,4,4,4,4,1,1,1,1,-1,-1,12
2020-08-03,0,0,0,0,1,1,2,2,1,2,2,2,0,0,-1,-1,-1,-1,1,1,1,1,1,0,0,0,-1,-1,12
2020-08-04,0,0,0,0,1,1,2,2,4,4,2,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,2,2,-1,-1,12
2020-08-05,0,0,0,0,2,3,5,7,6,6,4,2,0,0,-1,-1,-1,-1,2,0,0,0,1,1,1,1,-1,-1,12
2020-08-06,0,0,0,0,0,0,1,1,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,12
2020-08-07,0,0,0,0,2,3,3,2,4,3,2,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2020-08-08,0,0,0,0,4,5,6,6,6,5,2,2,0,0,-1,-1,-1,-1,2,1,1,1,1,0,2,2,-1,-1,12
2020-08-09,0,0,0,0,1,3,6,6,3,3,3,1,0,0,-1,-1,-1,-1,1,1,0,0,1,1,1,2,-1,-1,12
2020-08-11,0,0,0,0,0,0,3,3,3,2,1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,12
2020-08-12,0,0,0,0,0,0,0,0,2,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,12
2020-08-13,0,0,0,0,2,1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,12
2020-08-15,0,0,0,0,3,4,6,5,2,1,1,1,0,0,-1,-1,-1,-1,1,1,2,2,1,4,4,4,-1,-1,12
2020-08-16,0,0,0,0,2,4,3,3,2,1,1,0,0,0,-1,-1,-1,-1,5,1,3,3,5,0,0,-1,-1,-1,12
2020-08-17,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,12
2020-08-18,0,0,0,0,0,0,0,0,2,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,12
2020-08-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,12
2020-08-23,0,0,0,0,1,2,4,3,2,4,2,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2020-08-24,0,0,0,0,2,2,2,3,2,2,0,0,0,0,-1,-1,-1,-1,1,1,1,0,1,1,-1,-1,-1,-1,12
2020-08-25,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,2,2,1,1,-1,-1,-1,-1,-1,-1,12
2020-08-26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2020-08-27,0,0,0,0,1,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,-1,12
2020-08-29,0,0,0,0,5,5,5,5,5,4,4,4,2,0,-1,-1,-1,-1,1,1,1,1,1,5,5,5,5,-1,12
2020-08-30,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,12
2020-08-31,0,0,0,0,2,2,2,2,2,2,2,2,1,0,-1,-1,-1,-1,0,0,0,0,1,1,1,1,1,-1,12
2020-09-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,12
2020-09-03,0,0,0,0,1,1,1,1,1,1,0,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,0,-1,-1,12
2020-09-04,0,0,0,0,1,1,4,2,1,1,0,0,0,0,-1,-1,-1,-1,1,1,0,0,1,1,-1,-1,-1,-1,12
2020-09-05,0,0,0,0,2,3,3,3,4,4,4,3,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,-1,-1,12
2020-09-06,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,12
2020-09-07,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,12
2020-09-08,0,0,0,0,1,1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,-1,12
2020-09-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2020-09-10,0,0,0,0,3,3,3,2,0,0,0,0,0,0,-1,-1,-1,-1,0,0,1,4,-1,-1,-1,-1,-1,-1,12
2020-09-11,0,0,0,0,0,1,2,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,12
2020-09-14,0,0,0,0,3,3,3,3,3,2,2,2,0,0,-1,-1,-1,-1,1,1,1,1,0,0,0,0,-1,-1,12
2020-09-15,0,0,0,0,1,1,0,0,0,0,0,2,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,12
2020-09-16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2020-09-17,0,0,0,0,0,1,2,3,3,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,12
2020-09-18,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,12
2020-09-19,0,0,0,0,1,2,2,2,3,1,3,3,0,0,-1,-1,-1,-1,11,0,0,0,3,11,1,1,-1,-1,12
2020-09-20,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,12
2020-09-22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,12
2020-09-23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,12
2020-09-24,0,0,0,0,0,0,0,0,1,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,-1,12
2020-09-28,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,12
2020-09-29,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,12
2020-09-30,0,0,0,0,0,0,2,2,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,12
2020-10-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,12
2020-10-02,0,0,0,0,0,0,0,0,0,0,2,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,12
2020-10-03,0,0,0,0,1,1,1,1,0,2,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,12
2020-10-08,0,0,0,0,2,2,2,2,3,3,2,0,0,0,-1,-1,-1,-1,2,2,2,2,1,1,2,-1,-1,-1,12
2020-10-09,0,0,0,0,1,1,2,1,1,2,1,0,0,0,-1,-1,-1,-1,2,2,1,2,2,0,0,-1,-1,-1,12
2020-10-11,0,0,0,0,1,2,2,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2020-10-13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,12
2020-10-15,0,0,0,0,1,1,0,0,1,2,2,1,0,0,-1,-1,-1,-1,0,0,-1,-1,1,0,0,1,-1,-1,12
2020-10-16,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,-1,-1,12
2020-10-17,0,0,0,0,2,2,2,2,1,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,12
2020-10-18,0,0,0,0,1,2,2,2,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,-1,-1,12
2020-10-20,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,12
2020-10-21,0,0,0,0,1,1,1,1,2,2,2,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2020-10-22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,12
2020-10-31,0,0,0,0,1,2,4,5,3,3,1,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,12
2021-03-22,0,0,0,0,2,2,4,2,0,0,0,0,0,0,-1,-1,-1,-1,2,2,0,2,-1,-1,-1,-1,-1,-1,12
2021-03-23,0,0,0,0,2,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2021-03-24,0,0,0,0,1,1,1,1,1,2,2,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2021-03-25,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2021-03-29,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,12
2021-03-30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
2021-03-31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,12
2021-04-01,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,-1,-1,12
2021-04-02,0,0,0,0,4,4,4,2,3,3,0,0,0,0,-1,-1,-1,-1,2,2,2,3,1,1,-1,-1,-1,-1,6
2021-04-03,0,0,0,0,0,1,2,3,1,1,2,0,0,0,-1,-1,-1,-1,-1,2,1,0,1,1,0,-1,-1,-1,6
2021-04-06,0,0,0,0,2,2,2,2,1,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,1,-1,-1,-1,-1,12
2021-04-07,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9,9,-1,-1,-1,-1,12
2021-04-08,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,12
2021-04-09,0,0,0,0,1,2,2,1,2,2,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2021-04-10,0,0,0,0,0,1,1,1,2,2,1,0,0,0,-1,-1,-1,-1,-1,4,4,4,0,0,4,-1,-1,-1,6
2021-04-12,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2021-04-14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,12
2021-04-16,0,0,0,0,3,3,2,2,2,3,0,0,0,0,-1,-1,-1,-1,0,0,1,1,1,0,-1,-1,-1,-1,12
2021-04-17,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,6
2021-04-18,0,0,0,0,0,1,2,2,0,2,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,6
2021-04-19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
2021-04-24,0,0,0,0,2,3,3,4,3,4,0,0,0,0,-1,-1,-1,-1,3,1,1,1,1,1,-1,-1,-1,-1,6
2021-04-25,0,0,0,0,5,5,5,4,4,2,2,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,6
2021-04-26,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,12
2021-04-27,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2021-04-28,0,0,0,0,0,1,1,1,2,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,12
2021-05-03,0,0,0,0,2,3,3,2,0,0,0,0,0,0,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,-1,-1,12
2021-05-05,0,0,0,0,0,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,1,1,1,-1,-1,12
2021-05-08,0,0,0,0,3,5,5,5,6,4,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,6
2021-05-09,0,0,0,0,3,5,5,5,0,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,6
2021-05-11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,12
2021-05-13,0,0,0,0,4,4,4,4,4,2,1,1,1,0,-1,-1,-1,-1,11,11,11,11,11,11,2,2,2,-1,6
2021-05-14,0,0,0,0,3,3,4,3,2,2,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,6
2021-05-15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,6
2021-05-16,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,-1,-1,6
2021-05-17,0,0,0,0,1,1,1,1,1,2,2,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2021-05-18,0,0,0,0,1,2,2,2,0,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,12
2021-05-21,0,0,0,0,1,2,1,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,2,2,-1,-1,-1,-1,-1,-1,12
2021-05-22,0,0,0,0,4,4,5,5,5,5,4,0,0,0,-1,-1,-1,-1,10,10,10,10,2,2,2,-1,-1,-1,6
2021-05-23,0,0,0,0,0,1,5,5,6,3,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1,0,-1,-1,-1,-1,6
2021-05-24,0,0,0,0,2,4,4,2,1,2,0,0,0,0,-1,-1,-1,-1,1,0,0,1,0,1,-1,-1,-1,-1,6
2021-05-25,0,0,0,0,0,0,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,12
2021-05-26,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2021-05-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
2021-05-28,0,0,0,0,3,5,5,5,5,4,4,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2021-05-29,0,0,0,0,5,5,5,4,5,4,2,2,0,0,-1,-1,-1,-1,1,1,1,1,3,3,6,6,-1,-1,6
2021-05-30,0,0,0,0,2,2,3,3,1,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,0,-1,-1,-1,-1,-1,6
2021-05-31,0,0,0,0,1,1,2,1,1,1,0,0,0,0,-1,-1,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,12
2021-06-01,0,0,0,0,1,1,3,1,1,2,1,1,0,0,-1,-1,-1,-1,1,1,1,1,1,0,1,1,-1,-1,12
2021-06-02,0,0,0,0,1,1,1,1,0,0,1,2,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,1,0,-1,-1,12
2021-06-03,0,0,0,0,1,3,7,3,0,0,0,0,0,0,-1,-1,-1,-1,3,0,0,1,-1,-1,-1,-1,-1,-1,12
2021-06-04,0,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,4,4,4,1,-1,-1,-1,-1,-1,12
2021-06-05,0,0,0,0,0,0,1,1,3,2,2,0,0,0,-1,-1,-1,-1,-1,-1,4,4,4,20,20,-1,-1,-1,6
2021-06-06,0,0,0,0,3,4,3,3,1,1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,6
2021-06-07,0,0,0,0,1,1,1,1,2,5,4,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2021-06-08,0,0,0,0,2,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,12
2021-06-10,0,0,0,0,1,1,2,2,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2021-06-11,0,0,0,0,3,3,4,4,4,4,2,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,4,-1,-1,12
2021-06-12,0,0,0,0,4,3,5,5,5,4,0,0,0,0,-1,-1,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,6
2021-06-13,0,0,0,0,3,3,3,3,2,3,2,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,6
2021-06-14,0,0,0,0,2,8,8,6,5,4,3,3,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2021-06-15,0,0,0,0,0,1,2,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,12
2021-06-16,0,0,0,0,2,2,3,3,4,5,5,3,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2021-06-17,0,0,0,0,2,0,0,0,1,1,0,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,0,0,-1,12
2021-06-18,0,0,0,0,2,2,3,3,1,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,0,0,0,0,-1,-1,6
2021-06-19,0,0,0,0,0,0,2,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,-1,-1,6
2021-06-20,0,0,0,0,3,3,3,3,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,6
2021-06-21,0,0,0,0,1,2,4,2,1,4,2,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2021-06-22,0,0,0,0,1,1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,12
2021-06-23,0,0,0,0,3,3,3,2,2,2,2,2,0,0,-1,-1,-1,-1,0,0,0,1,1,1,1,1,-1,-1,12
2021-06-24,0,0,0,0,1,1,1,1,1,2,2,2,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,-1,6
2021-06-25,0,0,0,0,1,1,1,1,2,2,1,3,0,0,-1,-1,-1,-1,11,11,11,11,0,0,11,0,-1,-1,12
2021-06-26,0,0,0,0,3,3,4,4,4,5,4,2,0,0,-1,-1,-1,-1,0,0,4,4,4,1,1,4,-1,-1,6
2021-06-27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,6
2021-06-28,0,0,0,0,3,2,2,3,3,4,2,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,4,4,-1,-1,12
2021-06-30,0,0,0,0,1,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,12
2021-07-02,0,0,0,0,1,3,3,3,3,7,5,3,0,0,-1,-1,-1,-1,2,2,2,2,2,0,0,0,-1,-1,12
2021-07-03,0,0,0,0,1,2,2,2,3,3,2,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,6
2021-07-04,0,0,0,0,0,1,1,2,3,3,3,3,0,0,-1,-1,-1,-1,-1,20,20,0,5,5,5,5,-1,-1,6
2021-07-05,0,0,0,0,2,3,4,4,4,3,2,2,0,0,-1,-1,-1,-1,0,0,0,0,2,2,2,2,-1,-1,12
2021-07-06,0,0,0,0,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2021-07-07,0,0,0,0,1,1,1,1,3,3,3,3,0,0,-1,-1,-1,-1,9,9,9,9,9,9,9,9,-1,-1,12
2021-07-08,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,12
2021-07-09,0,0,0,0,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,0,2,2,2,2,2,2,2,-1,-1,12
2021-07-10,0,0,0,0,5,6,5,5,5,6,6,5,0,0,-1,-1,-1,-1,0,0,0,0,1,1,1,1,-1,-1,12
2021-07-11,0,0,0,0,0,0,1,0,2,7,5,5,0,0,-1,-1,-1,-1,-1,-1,0,-1,1,0,0,0,-1,-1,12
2021-07-12,0,0,0,0,1,1,2,1,2,1,1,1,0,0,-1,-1,-1,-1,0,0,0,0,1,8,8,8,-1,-1,12
2021-07-13,0,0,0,0,1,1,2,2,5,7,7,8,1,0,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,-1,12
2021-07-14,0,0,0,0,0,0,3,2,3,5,6,5,0,0,-1,-1,-1,-1,-1,-1,0,2,1,0,0,0,-1,-1,12
2021-07-15,0,0,0,0,0,0,0,1,6,7,5,6,1,0,-1,-1,-1,-1,-1,-1,-1,7,0,0,0,0,0,-1,12
2021-07-17,0,0,0,0,6,7,7,8,8,9,8,8,0,0,-1,-1,-1,-1,11,1,1,1,0,0,0,0,-1,-1,12
2021-07-18,0,0,0,0,4,4,4,4,3,4,4,2,0,0,-1,-1,-1,-1,1,1,1,1,4,4,4,4,-1,-1,6
